"Case.Referral.Date","freq"
2012-01-16,1
2012-01-18,1
2012-07-27,2
2012-08-06,1
2012-08-31,2
2012-09-05,1
2012-09-06,1
2012-09-07,1
2012-09-10,1
2012-09-11,1
2012-09-17,2
2012-09-19,5
2012-09-20,1
2012-09-25,2
2012-10-01,1
2012-10-02,1
2012-10-03,1
2012-10-04,1
2012-10-05,2
2012-10-09,3
2012-10-10,1
2012-10-12,3
2012-10-13,1
2012-10-15,1
2012-10-16,2
2012-10-18,2
2012-10-22,2
2012-10-23,1
2012-10-24,7
2012-10-25,1
2012-10-26,3
2012-10-29,6
2012-10-30,1
2012-11-01,4
2012-11-02,5
2012-11-05,5
2012-11-06,3
2012-11-07,1
2012-11-08,2
2012-11-09,4
2012-11-12,2
2012-11-13,16
2012-11-14,3
2012-11-15,9
2012-11-16,2
2012-11-19,6
2012-11-20,11
2012-11-21,9
2012-11-26,10
2012-11-27,14
2012-11-28,22
2012-11-29,11
2012-11-30,12
2012-12-03,11
2012-12-04,12
2012-12-05,21
2012-12-06,20
2012-12-07,11
2012-12-10,23
2012-12-11,20
2012-12-12,13
2012-12-13,21
2012-12-14,20
2012-12-17,34
2012-12-18,41
2012-12-19,31
2012-12-20,32
2012-12-21,32
2012-12-23,8
2012-12-24,4
2012-12-26,32
2012-12-27,38
2012-12-28,43
2012-12-31,43
2013-01-02,56
2013-01-03,74
2013-01-04,53
2013-01-07,76
2013-01-08,57
2013-01-09,51
2013-01-10,75
2013-01-11,73
2013-01-14,49
2013-01-15,67
2013-01-16,86
2013-01-17,86
2013-01-18,56
2013-01-21,53
2013-01-22,43
2013-01-23,57
2013-01-24,46
2013-01-25,56
2013-01-28,73
2013-01-29,68
2013-01-30,55
2013-01-31,61
2013-02-01,67
2013-02-04,47
2013-02-05,71
2013-02-06,72
2013-02-07,65
2013-02-08,36
2013-02-09,1
2013-02-10,1
2013-02-11,56
2013-02-12,65
2013-02-13,66
2013-02-14,43
2013-02-15,41
2013-02-18,48
2013-02-19,66
2013-02-20,51
2013-02-21,68
2013-02-22,47
2013-02-24,14
2013-02-25,45
2013-02-26,74
2013-02-27,77
2013-02-28,58
2013-03-01,58
2013-03-03,1
2013-03-04,56
2013-03-05,89
2013-03-06,71
2013-03-07,48
2013-03-08,57
2013-03-11,35
2013-03-12,51
2013-03-13,60
2013-03-14,76
2013-03-15,73
2013-03-17,5
2013-03-18,49
2013-03-19,51
2013-03-20,32
2013-03-21,53
2013-03-22,49
2013-03-25,71
2013-03-26,43
2013-03-27,48
2013-03-28,55
2013-03-29,57
2013-04-01,60
2013-04-02,42
2013-04-03,68
2013-04-04,45
2013-04-05,41
2013-04-07,15
2013-04-08,63
2013-04-09,68
2013-04-10,64
2013-04-11,57
2013-04-12,58
2013-04-15,47
2013-04-16,53
2013-04-17,64
2013-04-18,44
2013-04-19,52
2013-04-22,75
2013-04-23,58
2013-04-24,37
2013-04-25,70
2013-04-26,69
2013-04-29,61
2013-04-30,70
2013-05-01,65
2013-05-02,35
2013-05-03,54
2013-05-06,47
2013-05-07,37
2013-05-08,66
2013-05-09,44
2013-05-10,50
2013-05-11,1
2013-05-12,18
2013-05-13,57
2013-05-14,80
2013-05-15,55
2013-05-16,61
2013-05-17,60
2013-05-18,8
2013-05-20,48
2013-05-21,66
2013-05-22,72
2013-05-23,49
2013-05-24,46
2013-05-25,3
2013-05-27,2
2013-05-28,49
2013-05-29,70
2013-05-30,48
2013-05-31,52
2013-06-03,69
2013-06-04,49
2013-06-05,85
2013-06-06,49
2013-06-07,80
